model,N,Accepted_rate,r_native,r_aug,delta_r,ci_low,ci_high,degenerate_bootstrap_samples
gpt-5.5,46,0.6304347826086957,0.3590852456695199,0.3625881158244169,0.003502870154897031,-0.03366654131456498,0.03347142761166496,0.0
gpt-5.4,51,0.35294117647058826,-0.08494263080641623,-0.10160242502226145,-0.016659794215845222,-0.08011796454694214,0.043729439487904385,0.0
gpt-5.4-mini,41,0.14634146341463414,-0.032300973294494245,-0.0464020351279089,-0.014101061833414655,-0.04459580993169456,0.0,0.001
gpt-5.4-nano,51,0.11764705882352941,0.27164221726520216,0.2898197223596716,0.01817750509446947,-0.0268046736843021,0.07558582230239386,0.003
gemini-3-flash-preview,43,0.46511627906976744,0.2559258676000618,0.24194360553390296,-0.013982262066158851,-0.04443451678647746,0.0,0.0
gemini-3.1-flash-lite-preview,41,0.2926829268292683,-0.05309256196427061,-0.0645361600276405,-0.011443598063369885,-0.04560547493773742,0.0,0.0
gemini-2.5-flash,42,0.2857142857142857,-0.037975148353205944,-0.013963138348885623,0.024012010004320322,-0.030756882006089264,0.08750336900838247,0.0
gemini-2.5-flash-lite,38,0.13157894736842105,0.4577556059739194,0.4448065674292694,-0.012949038544650016,-0.0380761598181034,0.0,0.002
anthropic__claude-haiku-4-5,38,0.2894736842105263,0.15855166104530286,0.17427118688212384,0.015719525836820986,-0.03551683271893772,0.085525530267271,0.0
anthropic__claude-sonnet-4-5,39,0.4358974358974359,0.13021088599663241,0.09543627149216011,-0.034774614504472307,-0.09024278788403478,0.021921185083984815,0.0
anthropic__claude-sonnet-4-6,30,0.36666666666666664,0.12719041701144332,0.12511238680615508,-0.0020780302052882393,-0.00693472172945958,0.0,0.0
Model mean / total,460,0.3194995188248926,0.14109550783124497,0.13704309980009122,-0.0040524080311537605,,,
