category,model,n,strict_param_value_f1,normalized_param_value_f1,delta,mean_gold_entries,mean_pred_entries,mean_matched_entries
A,Mistral-Large-3-675B-Instruct-2512,103,0.08237059832509333,0.11389868376702965,0.03152808544193632,2.4803149606299213,8.362204724409448,0.44881889763779526
A,Llama-3.1-405B-Instruct-FP8,103,0.10261441523343502,0.2028685882750841,0.10025417304164909,2.4803149606299213,4.84251968503937,0.5826771653543307
A,Llama-3.3-70B-Instruct,103,0.10453870007517667,0.16837232922937642,0.06383362915419975,2.4803149606299213,6.31496062992126,0.6220472440944882
A,gemma-4-31B-it,103,0.10469628102813452,0.1695270644750873,0.06483078344695278,2.4803149606299213,9.251968503937007,0.6614173228346457
A,Mistral-Small-3.2-24B-Instruct-2506,103,0.06089941684663894,0.12858271120433218,0.06768329435769324,2.4803149606299213,6.322834645669292,0.4881889763779528
A,Llama-4-Maverick-17B-128E-Instruct-FP8,103,0.08649114287002013,0.11802884353272998,0.03153770066270985,2.4803149606299213,12.047244094488189,0.7007874015748031
A,gemma-3-12b-it,103,0.0806311909154511,0.1756139530779586,0.0949827621625075,2.4803149606299213,7.9921259842519685,0.5748031496062992
B,Mistral-Large-3-675B-Instruct-2512,24,0.0,0.45398774342272796,0.45398774342272796,1.0,5.48,0.92
B,Llama-3.1-405B-Instruct-FP8,24,0.0,0.3916677588674253,0.3916677588674253,1.0,6.6,0.96
B,Llama-3.3-70B-Instruct,24,0.05333333333333333,0.3609450308463466,0.30761169751301326,1.0,6.12,0.92
B,gemma-4-31B-it,24,0.040606060606060604,0.4235263347763349,0.3829202741702743,1.0,7.04,0.96
B,Mistral-Small-3.2-24B-Instruct-2506,24,0.04,0.452615812406834,0.41261581240683404,1.0,5.64,0.96
B,Llama-4-Maverick-17B-128E-Instruct-FP8,24,0.0580952380952381,0.3188827075897268,0.2607874694944887,1.0,9.36,0.96
B,gemma-3-12b-it,24,0.07142857142857144,0.33109961319164355,0.2596710417630721,1.0,8.52,0.96
C,Mistral-Large-3-675B-Instruct-2512,10,0.2676739926739926,0.32054334554334557,0.05286935286935296,6.1,5.1,1.4
C,Llama-3.1-405B-Instruct-FP8,10,0.4201960784313726,0.5816944109021908,0.16149833247081818,6.1,10.6,3.0
C,Llama-3.3-70B-Instruct,10,0.2885656826833297,0.3431226431226432,0.05455696043931346,6.1,16.2,3.0
C,gemma-4-31B-it,10,0.4472222222222223,0.6400496562261269,0.19282743400390456,6.1,6.4,2.9
C,Mistral-Small-3.2-24B-Instruct-2506,10,0.451468253968254,0.5504761904761905,0.09900793650793643,6.1,8.4,2.7
C,Llama-4-Maverick-17B-128E-Instruct-FP8,10,0.3084603174603175,0.5303238428238428,0.22186352536352533,6.1,10.6,3.4
C,gemma-3-12b-it,10,0.42955292643373133,0.4670229171128722,0.03746999067914086,6.1,11.3,2.5
D,Mistral-Large-3-675B-Instruct-2512,3,0.43333333333333335,1.0,0.5666666666666667,2.0,2.0,2.0
D,Llama-3.1-405B-Instruct-FP8,3,0.5,1.0,0.5,2.0,2.0,2.0
D,Llama-3.3-70B-Instruct,3,0.4666666666666666,1.0,0.5333333333333334,2.0,2.0,2.0
D,gemma-4-31B-it,3,0.5,1.0,0.5,2.0,2.0,2.0
D,Mistral-Small-3.2-24B-Instruct-2506,3,0.5,1.0,0.5,2.0,2.0,2.0
D,Llama-4-Maverick-17B-128E-Instruct-FP8,3,0.41111111111111115,1.0,0.5888888888888888,2.0,2.0,2.0
D,gemma-3-12b-it,3,0.43333333333333335,1.0,0.5666666666666667,2.0,2.0,2.0
